symbol,current_year,current_sales,forecast_year,forecasted_sales
ABB,2024,5849.0,2025,5907.79
ADANIENSOL,2024,16607.0,2025,17238.02
ADANIENT,2024,96421.0,2025,86758.98
ADANIGREEN,2024,9220.0,2025,9460.93
ADANIPORTS,2024,26711.0,2025,23437.2
ADANIPOWER,2024,50351.0,2025,42787.17
AMBUJACEM,2024,33160.0,2025,39868.8
APOLLOHOSP,2024,19059.0,2025,18372.29
ASIANPAINT,2024,35495.0,2025,34746.92
ATGL,2024,4475.0,2025,4905.57
AXISBANK,2024,109369.0,2025,96381.3
BAJAJ-AUTO,2024,44870.0,2025,40462.65
BAJAJFINSV,2024,110382.0,2025,100502.03
BAJAJHLDNG,2024,1702.0,2025,913.41
BAJFINANCE,2024,54972.0,2025,51597.4
BANKBARODA,2024,118379.0,2025,104354.35
BEL,2024,20268.0,2025,19786.59
BHARTIARTL,2024,149982.0,2025,132971.14
BHEL,2024,23893.0,2025,15809.36
BOSCHLTD,2024,16727.0,2025,14434.53
BPCL,2024,448083.0,2025,410597.15
BRITANNIA,2024,16769.0,2025,17246.26
CANBK,2024,110519.0,2025,93150.86
CHOLAFIN,2024,19163.0,2025,15691.36
CIPLA,2024,25774.0,2025,25768.74
COALINDIA,2024,142324.0,2025,135124.5
DABUR,2024,12404.0,2025,12074.33
DIVISLAB,2024,7845.0,2025,9020.18
DLF,2024,6427.0,2025,5392.58
DMART,2024,50789.0,2025,46635.7
DRREDDY,2024,28011.0,2025,25578.91
EICHERMOT,2024,16536.0,2025,13806.31
GAIL,2024,133228.0,2025,121093.71
GODREJCP,2024,14096.0,2025,14141.45
GRASIM,2024,130978.0,2025,126699.55
HAL,2024,30381.0,2025,29198.15
HAVELLS,2024,18590.0,2025,16550.33
HCLTECH,2024,109913.0,2025,110475.24
HDFCBANK,2024,283649.0,2025,221039.86
HDFCLIFE,2024,101482.0,2025,88356.73
HEROMOTOCO,2024,37789.0,2025,35846.87
HINDALCO,2024,215962.0,2025,214887.79
HINDUNILVR,2024,61896.0,2025,61461.0
ICICIBANK,2024,159516.0,2025,134456.11
ICICIGI,2024,20487.0,2025,20017.61
ICICIPRULI,2024,90307.0,2025,77704.83
INDIGO,2024,68904.0,2025,53503.33
INDUSINDBK,2024,45748.0,2025,43632.39
INFY,2024,153670.0,2025,151856.05
IOC,2024,776352.0,2025,695207.76
IRCTC,2024,4270.0,2025,3475.93
IRFC,2024,26645.0,2025,25221.86
ITC,2024,70866.0,2025,70655.8
JINDALSTEL,2024,50354.0,2025,56691.36
JSWENERGY,2024,11486.0,2025,9449.64
JSWSTEEL,2024,175006.0,2025,164774.06
KOTAKBANK,2024,56237.0,2025,50734.83
LICI,2024,845966.0,2025,894917.87
LODHA,2024,10316.0,2025,11866.6
LT,2024,221113.0,2025,203759.47
LTIM,2024,35517.0,2025,31556.65
M&M,2024,139078.0,2025,119009.7
MARUTI,2024,141858.0,2025,124732.06
MOTHERSON,2024,98692.0,2025,90675.79
NAUKRI,2024,2536.0,2025,2296.77
NESTLEIND,2024,24394.0,2025,21200.0
NHPC,2024,9632.0,2025,10615.95
NTPC,2024,178501.0,2025,168464.7
ONGC,2024,591396.0,2025,622707.77
PFC,2024,91508.0,2025,95776.2
PIDILITIND,2024,12383.0,2025,12013.68
PNB,2024,109065.0,2025,95652.67
POWERGRID,2024,45843.0,2025,51928.88
RECLTD,2024,47517.0,2025,46057.32
RELIANCE,2024,899041.0,2025,836043.32
SBILIFE,2024,131988.0,2025,110426.79
SBIN,2024,439189.0,2025,384242.56
SHREECEM,2024,20521.0,2025,20059.7
SHRIRAMFIN,2024,36388.0,2025,30942.62
SIEMENS,2024,22240.0,2025,18385.42
SUNPHARMA,2024,48497.0,2025,48167.68
TATACONSUM,2024,15206.0,2025,14109.17
TATAMOTORS,2024,437928.0,2025,367715.83
TATAPOWER,2024,61449.0,2025,49498.65
TATASTEEL,2024,229171.0,2025,229327.11
TCS,2024,240893.0,2025,241711.26
TECHM,2024,51996.0,2025,56588.91
TITAN,2024,51084.0,2025,42162.98
TORNTPHARM,2024,10728.0,2025,10856.71
TRENT,2024,12375.0,2025,8201.92
TVSMOTOR,2024,39145.0,2025,34766.15
ULTRACEMCO,2024,70908.0,2025,68031.11
UNIONBANK,2024,100376.0,2025,87655.18
UNITDSPR,2024,11321.0,2025,9880.64
VBL,2023,16043.0,2024,13623.41
VEDL,2024,143727.0,2025,153042.38
WIPRO,2024,89760.0,2025,90449.74
ZOMATO,2024,12114.0,2025,11118.0
ZYDUSLIFE,2024,19547.0,2025,19521.18
