symbol,peer_1,peer_2,peer_3
ABB,ASIANPAINT,IRCTC,HAL
ADANIENSOL,TATAPOWER,LODHA,TVSMOTOR
ADANIENT,JINDALSTEL,MOTHERSON,JSWENERGY
ADANIGREEN,NESTLEIND,IRCTC,BEL
ADANIPORTS,BAJAJHLDNG,NHPC,DLF
ADANIPOWER,BRITANNIA,NESTLEIND,CHOLAFIN
AMBUJACEM,TECHM,JIOFIN,NAUKRI
APOLLOHOSP,SHREECEM,DMART,DIVISLAB
ASIANPAINT,HAL,ABB,IRCTC
ATGL,DABUR,HAVELLS,TORNTPHARM
AXISBANK,PFC,RECLTD,INDUSINDBK
BAJAJ-AUTO,HAL,ASIANPAINT,LTIM
BAJAJFINSV,PNB,IRFC,INDUSINDBK
BAJAJHLDNG,SUNPHARMA,DIVISLAB,SHREECEM
BAJFINANCE,HINDALCO,HDFCBANK,HINDUNILVR
BANKBARODA,CANBK,IRFC,INDUSINDBK
BEL,ABB,LTIM,ASIANPAINT
BHARTIARTL,TATASTEEL,JSWSTEEL,GRASIM
BHEL,NAUKRI,JIOFIN,DLF
BOSCHLTD,DMART,DABUR,HAVELLS
BPCL,TATAMOTORS,LICI,IOC
BRITANNIA,IRCTC,NESTLEIND,ABB
CANBK,BANKBARODA,IRFC,RECLTD
CHOLAFIN,IRFC,INDUSINDBK,SHRIRAMFIN
CIPLA,INDIGO,ICICIGI,HEROMOTOCO
COALINDIA,HINDUNILVR,HEROMOTOCO,HINDALCO
DABUR,HAVELLS,SIEMENS,ATGL
DIVISLAB,SHREECEM,DMART,TATACONSUM
DLF,NAUKRI,JIOFIN,JSWENERGY
DMART,BOSCHLTD,DIVISLAB,SHREECEM
DRREDDY,PIDILITIND,SIEMENS,EICHERMOT
EICHERMOT,PIDILITIND,LTIM,DRREDDY
GAIL,TECHM,SUNPHARMA,AMBUJACEM
GODREJCP,DIVISLAB,DMART,SHREECEM
GRASIM,JSWSTEEL,BHEL,TECHM
HAL,ASIANPAINT,ABB,IRCTC
HAVELLS,SIEMENS,DABUR,BOSCHLTD
HCLTECH,ITC,INFY,TCS
HDFCBANK,BAJFINANCE,AXISBANK,PFC
HDFCLIFE,ICICIPRULI,SBILIFE,NAUKRI
HEROMOTOCO,HINDUNILVR,CIPLA,INDIGO
HINDALCO,HINDUNILVR,BAJFINANCE,HEROMOTOCO
HINDUNILVR,HEROMOTOCO,HINDALCO,COALINDIA
ICICIBANK,KOTAKBANK,CANBK,BANKBARODA
ICICIGI,HAVELLS,BOSCHLTD,DABUR
ICICIPRULI,HDFCLIFE,BHEL,SBILIFE
INDIGO,CIPLA,ICICIGI,HAVELLS
INDUSINDBK,IRFC,PNB,RECLTD
INFY,ITC,HCLTECH,TCS
IOC,LICI,BPCL,TATAMOTORS
IRCTC,ABB,ASIANPAINT,HAL
IRFC,INDUSINDBK,PNB,SHRIRAMFIN
ITC,INFY,HCLTECH,TCS
JINDALSTEL,DLF,TATACONSUM,JSWENERGY
JIOFIN,NAUKRI,DLF,NHPC
JSWENERGY,DLF,NAUKRI,JINDALSTEL
JSWSTEEL,GRASIM,BHEL,MOTHERSON
KOTAKBANK,ICICIBANK,CANBK,BANKBARODA
LICI,BPCL,TATAMOTORS,IOC
LODHA,ADANIENSOL,TATAPOWER,SHRIRAMFIN
LT,NTPC,ONGC,RELIANCE
LTIM,EICHERMOT,BEL,PIDILITIND
M&M,IOC,LT,TCS
MARUTI,GAIL,LT,SUNPHARMA
MOTHERSON,BHEL,ICICIPRULI,JINDALSTEL
NAUKRI,DLF,JIOFIN,BHEL
NESTLEIND,BRITANNIA,IRCTC,ASIANPAINT
NHPC,JIOFIN,DLF,NAUKRI
NTPC,RELIANCE,LT,ONGC
ONGC,RELIANCE,NTPC,LT
PFC,AXISBANK,RECLTD,BANKBARODA
PIDILITIND,DRREDDY,EICHERMOT,LTIM
PNB,INDUSINDBK,IRFC,BANKBARODA
POWERGRID,NTPC,HDFCBANK,RELIANCE
RECLTD,INDUSINDBK,PFC,AXISBANK
RELIANCE,ONGC,NTPC,LT
SBILIFE,ICICIPRULI,TATACONSUM,HDFCLIFE
SHREECEM,DIVISLAB,TATACONSUM,DMART
SHRIRAMFIN,IRFC,INDUSINDBK,CHOLAFIN
SIEMENS,HAVELLS,DABUR,DRREDDY
SUNPHARMA,BAJAJHLDNG,AMBUJACEM,DIVISLAB
TATACONSUM,SHREECEM,NAUKRI,DLF
TATAMOTORS,BPCL,LICI,IOC
TATAPOWER,ADANIENSOL,LODHA,ADANIENT
TATASTEEL,BHARTIARTL,JSWSTEEL,GRASIM
TCS,INFY,ONGC,HCLTECH
TECHM,AMBUJACEM,JIOFIN,BHEL
TITAN,TRENT,TORNTPHARM,LTIM
TORNTPHARM,TRENT,ATGL,PIDILITIND
TRENT,TORNTPHARM,PIDILITIND,TITAN
TVSMOTOR,LODHA,ADANIENSOL,TATAPOWER
